Date,Name and Loc,Rating,Title,Review
Date of experience: March 2019,"AgarciaaaToronto, Canada","<span class=""ui_bubble_rating bubble_20""></span>","The cove of the beach is beautiful, I found alot of hassle from all the beach vendors. I couldn't enjoy 5 minutes on the beach without having another vendor hassling us to check out their shop.
Not relaxing.","Great prices, swarmed with beach vendors."
Date of experience: January 2019,937sunilvatta,"<span class=""ui_bubble_rating bubble_30""></span>",Good beach for viewing sunset. Not so good for bathing as lot of thick sand and stones are there on the shore.,Good Sunset View Point
Date of experience: February 2019,"Premolars208London, United Kingdom","<span class=""ui_bubble_rating bubble_20""></span>","A visit after 35 years, first time was March 1984.
How awful; this pristine, paradise beach is ruined- so unorganised & dirty.
Don't bother going there.",A shadow of what it was
Date of experience: March 2019,"Parmeeta123Pune, India","<span class=""ui_bubble_rating bubble_20""></span>","Please don't waste your time visiting this beach, unless you want to experience the flea market. This is a rocky beach and super commercial. It's personally not my thing.",It's died a slow death
Date of experience: March 2019,"S SNew Delhi, India","<span class=""ui_bubble_rating bubble_20""></span>","Went with senior citizens and kids and I must say it wasnt the place I should have chosen, especially after having spent most of my time in Calangute beach. Hardly spent 15 minutes and rushed back",No where close to the best beaches in Goa
Date of experience: January 2019,"lavema16Portsmouth, United Kingdom","<span class=""ui_bubble_rating bubble_30""></span>","Popped over from Vagator to the next beach to mosy around the market and beach. Many an hour looking around and a few items bought. Colourful, noisy and vibrant, as per expected, and lively locals. Partner spent far too much and beers were desperately sought😂...More",Great place and fantastic market   
Date of experience: February 2019,"eamonm2Manchester, United Kingdom","<span class=""ui_bubble_rating bubble_20""></span>",For anyone with mobility issues this is not a friendly place all the beach bars and restaurants have steps up to them. The majority of the roads seem to be small lanes with a rough surface very hard work for a wheel chair. Still hard...More,Not disabled friendly
Date of experience: July 2018,"Monica tChandigarh, India","<span class=""ui_bubble_rating bubble_30""></span>",This is the first time i went on some beach so if we look at my point of view this beach is nor good neither bad but there was a lot of crowd and also water sports are also very costly but you can visit...More,Not Good Neither Bad
Date of experience: November 2018,"Nitesh_RajputNew Delhi, India","<span class=""ui_bubble_rating bubble_30""></span>","Well, the spot is quite nice and less crowdy. Limited water sports facilities and very few restaurants you can find here.",Average
Date of experience: August 2018,"CoolTravelFreakBengaluru, India","<span class=""ui_bubble_rating bubble_30""></span>",Anjuna is famous for its flea market .. This beach is very crowded and not very very neat .. would always prefer vagator or baga ... this is,Decent Affair
